Protein IDs,Majority protein IDs,Fasta headers,LFQ intensity IDI-1,LFQ intensity IDI-2,LFQ intensity IDI-3,LFQ intensity IDLL-1,LFQ intensity IDLL-2,LFQ intensity IDLL-3,Mol. weight [kDa],Sequence length
E9GG98,E9GG98,tr|E9GG98|E9GG98_DAPPU Mitochondrial-processing peptidase subunit alpha OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303461 PE=3 SV=1,73420000,55888000,59574000,0,0,0,58.325,527
E9GGC8,E9GGC8,tr|E9GGC8|E9GGC8_DAPPU Beta-N-acetylhexosaminidase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_50325 PE=3 SV=1,8240900,7408200,7594100,0,0,0,46.57,405
E9GGD9;E9G3Q7,E9GGD9;E9G3Q7,tr|E9GGD9|E9GGD9_DAPPU GTP-binding protein sar1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_230846 PE=3 SV=1;tr|E9G3Q7|E9G3Q7_DAPPU GTP-binding protein sar1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_230523 PE=3 SV=1,0,0,5361300,0,0,0,21.803,192
E9GGE1,E9GGE1,tr|E9GGE1|E9GGE1_DAPPU Protein disulfide-isomerase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303471 PE=3 SV=1,32232000,25282000,25648000,0,0,0,74.856,658
E9GGE4,E9GGE4,tr|E9GGE4|E9GGE4_DAPPU Signal peptidase complex catalytic subunit SEC11 OS=Daphnia pulex OX=6669 GN=EOG090X0DWF PE=2 SV=1,54851000,60423000,55616000,0,0,0,20.105,178
E9GGE5,E9GGE5,tr|E9GGE5|E9GGE5_DAPPU Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303417 PE=3 SV=1,238830000,235740000,231770000,81355000,72900000,72526000,68.739,634
E9GGF6,E9GGF6,tr|E9GGF6|E9GGF6_DAPPU Golgi membrane protein 1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_224253 PE=4 SV=1,0,0,822300,0,0,0,40.756,360
E9GGM3,E9GGM3,tr|E9GGM3|E9GGM3_DAPPU 40S ribosomal protein S8 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303431 PE=3 SV=1,37755000,36383000,34150000,0,0,0,23.827,208
E9GGQ4,E9GGQ4,tr|E9GGQ4|E9GGQ4_DAPPU Hemolymph juvenile hormone binding protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303441 PE=4 SV=1,0,0,16619000,0,0,0,27.273,247
E9GGR6,E9GGR6,tr|E9GGR6|E9GGR6_DAPPU DAO domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_317710 PE=4 SV=1,7936000,9676300,7822800,0,0,0,58.935,527
E9GGR7,E9GGR7,tr|E9GGR7|E9GGR7_DAPPU Solute carrier organic anion transporter family member OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303505 PE=3 SV=1,0,0,1524600,0,0,0,68.614,632
E9GGV4,E9GGV4,tr|E9GGV4|E9GGV4_DAPPU V-type proton ATPase subunit G OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303591 PE=3 SV=1,56817000,65544000,71598000,0,0,0,13.591,117
E9GGY0;E9HTV0;E9HFZ6;E9GGR9;E9HBF0;E9I5J6;E9HBE8,E9GGY0;E9HTV0;E9HFZ6;E9GGR9;E9HBF0,tr|E9GGY0|E9GGY0_DAPPU VWFA domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_317777 PE=4 SV=1;tr|E9HTV0|E9HTV0_DAPPU PA14 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_117811 PE=4 SV=1;tr|E9HFZ6|E9HFZ6_DAPPU P-loop contai,0,0,1696300,0,0,0,97.598,881
E9GH20,E9GH20,tr|E9GH20|E9GH20_DAPPU Aldedh domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_242599 PE=3 SV=1,0,0,55271000,0,0,0,31.567,292
E9GHF2,E9GHF2,tr|E9GHF2|E9GHF2_DAPPU Sema domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_317955 PE=3 SV=1,48833000,52479000,48715000,0,40729000,0,220.27,1983
E9GHJ1,E9GHJ1,"tr|E9GHJ1|E9GHJ1_DAPPU Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303718 PE=3 SV=1",379980000,378600000,303330000,225950000,259420000,223000000,57.305,525
E9GHP0;E9GKW4;E9GHN7,E9GHP0;E9GKW4;E9GHN7,tr|E9GHP0|E9GHP0_DAPPU MFS domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303730 PE=4 SV=1;tr|E9GKW4|E9GKW4_DAPPU MFS domain-containing protein (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_52115 PE=4 SV=1;tr|E9GHN7|E9GHN7_DAPPU MFS d,0,22339000,0,0,0,0,55.086,510
E9GHR6,E9GHR6,"tr|E9GHR6|E9GHR6_DAPPU Trifunctional enzyme subunit beta, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_50689 PE=3 SV=1",263440000,286660000,293580000,51422000,0,93853000,48.207,447
E9GHY5,E9GHY5,tr|E9GHY5|E9GHY5_DAPPU Endoplasmic reticulum transmembrane protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_230883 PE=3 SV=1,6130800,9755300,10649000,0,0,0,26.991,236
E9GHZ8,E9GHZ8,tr|E9GHZ8|E9GHZ8_DAPPU TGc domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_50447 PE=4 SV=1,7371500,6713900,7335600,0,0,0,75.582,648
E9GI04,E9GI04,tr|E9GI04|E9GI04_DAPPU Trypsin OS=Daphnia pulex OX=6669 GN=TRY4B PE=4 SV=1,11474000,0,11817000,0,0,0,28.379,272
E9GI17,E9GI17,tr|E9GI17|E9GI17_DAPPU Integrin beta OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_196539 PE=3 SV=1,271840000,243610000,252360000,0,0,0,89.75,815
E9GI24,E9GI24,tr|E9GI24|E9GI24_DAPPU COesterase domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303775 PE=4 SV=1,0,0,746620,0,0,0,86.829,766
E9GI31,E9GI31,tr|E9GI31|E9GI31_DAPPU Cytochrome c oxidase subunit 4 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_230889 PE=3 SV=1,683240000,570710000,602310000,0,0,0,21.963,191
E9GI89,E9GI89,tr|E9GI89|E9GI89_DAPPU ZP domain-containing protein (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_50816 PE=4 SV=1,0,0,0,0,0,21070000,54.034,496
E9GI93,E9GI93,tr|E9GI93|E9GI93_DAPPU Glutathione S-transferase omega2 isoform a OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_318250 PE=2 SV=1,30984000,20978000,20460000,0,0,0,29.193,254
E9GIA3,E9GIA3,tr|E9GIA3|E9GIA3_DAPPU Small monomeric GTPase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_318262 PE=3 SV=1,0,0,16112000,0,0,0,21.954,194
E9GID3,E9GID3,tr|E9GID3|E9GID3_DAPPU Peptidyl-prolyl cis-trans isomerase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_92663 PE=3 SV=1,63938000,55093000,55461000,0,0,0,17.958,165
E9GID4,E9GID4,tr|E9GID4|E9GID4_DAPPU Protein quiver OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_243267 PE=3 SV=1,65569000,59610000,53921000,0,0,0,14.11,127
E9GIG1;E9GIF5,E9GIG1;E9GIF5,tr|E9GIG1|E9GIG1_DAPPU Dipeptidase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_50893 PE=3 SV=1;tr|E9GIF5|E9GIF5_DAPPU Dipeptidase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_211780 PE=3 SV=1,48807000,39493000,36165000,0,0,0,41.668,379
E9GIG7,E9GIG7,tr|E9GIG7|E9GIG7_DAPPU Chitin synthase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_318323 PE=4 SV=1,0,0,1505600,0,0,0,177.19,1557
E9GIJ4,E9GIJ4,tr|E9GIJ4|E9GIJ4_DAPPU SEL1 protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303934 PE=4 SV=1,50675000,42933000,47355000,39121000,34148000,40074000,61.675,559
E9GIK0,E9GIK0,tr|E9GIK0|E9GIK0_DAPPU Phospholipid-transporting ATPase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_318356 PE=3 SV=1,0,0,5236900,0,0,0,131.13,1167
E9GIK5,E9GIK5,tr|E9GIK5|E9GIK5_DAPPU Lactamase_B domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303870 PE=3 SV=1,0,0,4289100,0,0,0,30.941,273
E9GIM7,E9GIM7,tr|E9GIM7|E9GIM7_DAPPU Minor histocompatibility antigen H13 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303875 PE=3 SV=1,0,0,29033000,0,0,0,40.322,363
E9GIN5,E9GIN5,"tr|E9GIN5|E9GIN5_DAPPU ATP synthase subunit O, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303877 PE=3 SV=1",882210000,729040000,708860000,0,98538000,106750000,22.556,209
E9GIR8,E9GIR8,tr|E9GIR8|E9GIR8_DAPPU WD_REPEATS_REGION domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_318178 PE=4 SV=1,0,0,0,0,0,108510000,38.805,354
E9GIS2,E9GIS2,tr|E9GIS2|E9GIS2_DAPPU Aldo_ket_red domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_196566 PE=4 SV=1,0,0,5037300,0,0,0,37.709,337
E9GIT5,E9GIT5,tr|E9GIT5|E9GIT5_DAPPU Fasciclin-1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_196790 PE=4 SV=1,1275200000,1096000000,1006800000,288030000,115870000,184470000,75.914,677
E9GIU3,E9GIU3,tr|E9GIU3|E9GIU3_DAPPU Heat shock protein 83 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304064 PE=3 SV=1,134240000,92701000,108020000,29533000,41403000,0,69.279,614
E9GIV0,E9GIV0,tr|E9GIV0|E9GIV0_DAPPU Semaphorin-2A OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_51392 PE=3 SV=1,0,0,1963700,0,0,0,88.277,771
E9GIV2,E9GIV2,tr|E9GIV2|E9GIV2_DAPPU Angiotensin-converting enzyme OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_243454 PE=3 SV=1,71233000,68877000,90327000,163080000,140830000,141120000,72.36,626
E9GIV4,E9GIV4,tr|E9GIV4|E9GIV4_DAPPU Reelin domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_224629 PE=4 SV=1,26864000,23383000,24215000,0,0,0,17.232,167
E9GIY2,E9GIY2,tr|E9GIY2|E9GIY2_DAPPU Aminopeptidase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_318470 PE=3 SV=1,19479000,0,0,0,0,0,113.33,996
E9GIY3,E9GIY3,tr|E9GIY3|E9GIY3_DAPPU P-type domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_318471 PE=3 SV=1,45075000,45352000,43893000,0,0,0,108.06,957
E9GIZ5,E9GIZ5,"tr|E9GIZ5|E9GIZ5_DAPPU All-trans-retinol 13,14-reductase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304083 PE=4 SV=1",12918000,14891000,12375000,0,0,0,70.514,637
E9GJ04,E9GJ04,tr|E9GJ04|E9GJ04_DAPPU Reelin domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304087 PE=4 SV=1,203960000,210330000,213280000,0,0,0,28.177,265
E9GJ13,E9GJ13,tr|E9GJ13|E9GJ13_DAPPU Fructose-bisphosphate aldolase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_188180 PE=3 SV=1,348970000,361490000,408790000,547350000,649070000,520160000,39.438,364
E9GJ25,E9GJ25,tr|E9GJ25|E9GJ25_DAPPU Mitochondrial import inner membrane translocase subunit TIM50 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_51518 PE=3 SV=1,26562000,29595000,35840000,0,0,0,36.586,318
E9GJ29,E9GJ29,tr|E9GJ29|E9GJ29_DAPPU EH domain-containing protein 1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304007 PE=4 SV=1,9368800,0,9481100,0,0,0,61.212,541
E9GJ31;E9GJ27,E9GJ31,"tr|E9GJ31|E9GJ31_DAPPU Guanine nucleotide binding protein, q polypeptide OS=Daphnia pulex OX=6669 GN=Gnaq1 PE=3 SV=1",648760000,691130000,599470000,284590000,276650000,321940000,41.627,353
E9GJ36,E9GJ36,tr|E9GJ36|E9GJ36_DAPPU Ferrochelatase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_128379 PE=3 SV=1,24286000,24405000,22744000,0,0,21996000,39.369,348
E9GJ41,E9GJ41,tr|E9GJ41|E9GJ41_DAPPU NodB homology domain-containing protein (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_3545 PE=4 SV=1,0,0,1812700,0,0,0,40.138,350
E9GJ74;E9GJ75,E9GJ74;E9GJ75,tr|E9GJ74|E9GJ74_DAPPU Neprilysin OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304104 PE=3 SV=1;tr|E9GJ75|E9GJ75_DAPPU Neutral endopeptidase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_318571 PE=3 SV=1,70558000,56868000,65429000,0,0,0,78.379,680
E9GJ93,E9GJ93,tr|E9GJ93|E9GJ93_DAPPU Aldedh domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_51170 PE=3 SV=1,662100000,377940000,592710000,51570000,59886000,56796000,54.614,501
E9GJA1,E9GJA1,tr|E9GJA1|E9GJA1_DAPPU Ras-related protein Rab-11A OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304112 PE=4 SV=1,71496000,67112000,66006000,0,0,0,24.086,215
E9GJB9,E9GJB9,tr|E9GJB9|E9GJB9_DAPPU Glycerol-3-phosphate dehydrogenase [NAD(+)] OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_51324 PE=3 SV=1,19596000,16979000,18486000,0,0,0,38.473,351
E9GJE2;E9GJE4,E9GJE2;E9GJE4,tr|E9GJE2|E9GJE2_DAPPU Oplophorus-luciferin 2-monooxygenase non-catalytic subunit OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304037 PE=4 SV=1;tr|E9GJE4|E9GJE4_DAPPU Membrane glycoprotein lig-1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304125 PE=4 SV=1,0,0,3656100,0,0,0,44.438,410
E9GJE7,E9GJE7,tr|E9GJE7|E9GJE7_DAPPU Angiotensin-converting enzyme OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304127 PE=3 SV=1,18287000,19077000,19094000,0,0,0,71.578,624
E9GM54;E9GJF3;E9G600;E9GBK7,E9GM54;E9GJF3;E9G600,tr|E9GM54|E9GM54_DAPPU Ubiquitin-like domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_52566 PE=4 SV=1;tr|E9GJF3|E9GJF3_DAPPU Polyubiquitin-C OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_243700 PE=4 SV=1;tr|E9G600|E9G600_DAPPU Ubiquitin-like doma,302990000,304040000,296590000,240400000,248960000,271500000,12.788,111
E9GJF4,E9GJF4,tr|E9GJF4|E9GJF4_DAPPU RAP domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_318642 PE=4 SV=1,0,0,1890900,0,0,0,68.534,606
E9GJF6,E9GJF6,tr|E9GJF6|E9GJF6_DAPPU Protein transport protein Sec61 subunit gamma OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_224750 PE=3 SV=1,0,0,2575000,0,0,0,7.6862,68
E9GJF7,E9GJF7,"tr|E9GJF7|E9GJF7_DAPPU NAD kinase 2, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_318645 PE=3 SV=1",0,0,5090600,0,0,0,48.348,426
E9GJJ4,E9GJJ4,"tr|E9GJJ4|E9GJJ4_DAPPU 39S ribosomal protein L20, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304054 PE=3 SV=1",0,0,5188400,0,0,0,17.003,147
E9GJN8,E9GJN8,tr|E9GJN8|E9GJN8_DAPPU Dihydrolipoyl dehydrogenase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_197043 PE=3 SV=1,333280000,334410000,334850000,190830000,171520000,143640000,53.557,501
E9GJP1,E9GJP1,tr|E9GJP1|E9GJP1_DAPPU Eukaryotic translation initiation factor 3 subunit I OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304176 PE=3 SV=1,0,0,4231400,0,0,0,36.443,327
E9GK07,E9GK07,tr|E9GK07|E9GK07_DAPPU Phosphoenolpyruvate carboxykinase (GTP) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_212175 PE=3 SV=1,51059000,49670000,45511000,0,0,0,72.261,652
E9GK09,E9GK09,tr|E9GK09|E9GK09_DAPPU Programmed cell death protein 6 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304192 PE=4 SV=1,0,0,0,0,0,25435000,21.317,185
E9GK33,E9GK33,tr|E9GK33|E9GK33_DAPPU Glutathione S-transferase delta/epsilon11 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304194 PE=2 SV=1,11750000,11720000,12751000,0,0,0,27.882,241
E9GKS8,E9GKS8,tr|E9GKS8|E9GKS8_DAPPU Integrin_alpha2 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304328 PE=3 SV=1,510430000,484430000,476090000,21643000,0,48513000,113.01,1032
E9GKS9,E9GKS9,tr|E9GKS9|E9GKS9_DAPPU Transmembrane protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_224882 PE=4 SV=1,0,0,5811400,0,0,0,32.952,294
E9GKZ3,E9GKZ3,tr|E9GKZ3|E9GKZ3_DAPPU Sacchrp_dh_NADP domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304354 PE=4 SV=1,6025100,6460300,5982900,0,0,0,46.788,426
E9GL09,E9GL09,tr|E9GL09|E9GL09_DAPPU Sacchrp_dh_NADP domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_188248 PE=4 SV=1,35305000,37098000,35920000,0,0,0,46.882,423
E9GL77,E9GL77,tr|E9GL77|E9GL77_DAPPU F-actin-capping protein subunit beta OS=Daphnia pulex OX=6669 GN=EOG090X098Y PE=2 SV=1,107260000,110410000,110230000,0,52445000,52740000,31.233,275
E9GLA5,E9GLA5,tr|E9GLA5|E9GLA5_DAPPU Chorion peroxidase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_51887 PE=4 SV=1,60275000,44239000,45631000,0,0,0,60.739,546
E9GLA8,E9GLA8,tr|E9GLA8|E9GLA8_DAPPU Amino acid transporter (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_21886 PE=4 SV=1,0,0,8476400,0,0,0,41.589,390
E9GLB5,E9GLB5,tr|E9GLB5|E9GLB5_DAPPU Carbonic anhydrase OS=Daphnia pulex OX=6669 GN=CAB PE=3 SV=1,1487700,0,0,0,0,0,29.592,255
E9GLC2,E9GLC2,tr|E9GLC2|E9GLC2_DAPPU OPA3-like protein CG13603 (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_5603 PE=3 SV=1,0,0,8798100,0,0,0,17.159,152
E9GLD2,E9GLD2,tr|E9GLD2|E9GLD2_DAPPU Malic enzyme OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304467 PE=3 SV=1,966740000,1147800000,1154300000,255370000,322120000,252370000,62.01,557
E9GLG8,E9GLG8,tr|E9GLG8|E9GLG8_DAPPU Metaxin-2 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304425 PE=3 SV=1,0,7813900,0,0,0,0,30.676,272
E9GLN0;E9GQS8,E9GLN0;E9GQS8,tr|E9GLN0|E9GLN0_DAPPU Peptidase S1 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_319411 PE=4 SV=1;tr|E9GQS8|E9GQS8_DAPPU Peptidase S1 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305245 PE=4 SV=1,0,0,8975100,0,0,0,27.226,256
E9GLP3,E9GLP3,tr|E9GLP3|E9GLP3_DAPPU Protein bark beetle OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_319425 PE=4 SV=1,5848900,5883900,5990700,0,0,0,325.08,2908
E9GLQ3,E9GLQ3,tr|E9GLQ3|E9GLQ3_DAPPU Pyruvate dehydrogenase E1 component subunit alpha OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304437 PE=4 SV=1,318810000,411510000,404710000,311300000,234810000,220950000,44.081,399
E9GLQ4,E9GLQ4,tr|E9GLQ4|E9GLQ4_DAPPU Parkin coregulated (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_33980 PE=4 SV=1,0,27610000,26684000,0,0,0,24.151,213
E9GLS0,E9GLS0,"tr|E9GLS0|E9GLS0_DAPPU 4-hydroxy-2-oxoglutarate aldolase, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_52277 PE=3 SV=1",12538000,12274000,13424000,0,0,0,35.319,330
E9GLS5,E9GLS5,"tr|E9GLS5|E9GLS5_DAPPU Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304439 PE=3 SV=1",93713000,86201000,83561000,33744000,0,12581000,43.468,406
E9GLS6,E9GLS6,tr|E9GLS6|E9GLS6_DAPPU Phosphatidylinositol transfer protein beta OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304440 PE=4 SV=1,50527000,68535000,74184000,0,0,0,31.63,271
E9GLS7,E9GLS7,tr|E9GLS7|E9GLS7_DAPPU Vitamin-K-epoxide reductase (warfarin-sensitive) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304442 PE=3 SV=1,0,0,4820700,0,0,0,20.834,187
E9GLT1,E9GLT1,tr|E9GLT1|E9GLT1_DAPPU 60S ribosomal protein L6 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_231016 PE=3 SV=1,69292000,57127000,56646000,0,0,0,29.381,260
E9GLU0,E9GLU0,tr|E9GLU0|E9GLU0_DAPPU Calcineurin B homologous protein 1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_225062 PE=4 SV=1,0,0,11588000,0,0,0,22.099,190
E9GLV0,E9GLV0,tr|E9GLV0|E9GLV0_DAPPU Oxoglutarate dehydrogenase (succinyl-transferring) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_197428 PE=3 SV=1,461210000,458650000,526640000,18348000,18825000,19540000,115.71,1035
E9GLV8,E9GLV8,"tr|E9GLV8|E9GLV8_DAPPU ATP synthase subunit epsilon, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304457 PE=3 SV=1",46386000,58546000,54930000,0,0,0,6.5046,58
E9H5F3;E9H705;E9GQV0;E9H3F0;E9GLW8;E9GUG1;E9HFR6,E9H5F3;E9H705;E9GQV0;E9H3F0;E9GLW8;E9GUG1;E9HFR6,tr|E9H5F3|E9H5F3_DAPPU Cyclin dependent kinase 5 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_299705 PE=3 SV=1;tr|E9H705|E9H705_DAPPU Cyclin-dependent kinsae 2 OS=Daphnia pulex OX=6669 GN=Cdk2 PE=3 SV=1;tr|E9GQV0|E9GQV0_DAPPU Ecdysone-induced protein-like protei,0,0,0,0,0,17649000,33.648,296
E9GLZ2,E9GLZ2,tr|E9GLZ2|E9GLZ2_DAPPU Chymotrypsin-like protein OS=Daphnia pulex OX=6669 GN=CHY1E PE=4 SV=1,0,0,4282200,0,0,0,32.589,305
E9GLZ3,E9GLZ3,tr|E9GLZ3|E9GLZ3_DAPPU Chymotrypsin-like protein OS=Daphnia pulex OX=6669 GN=CHY1F PE=4 SV=1,36795000,32722000,29958000,0,0,0,31.365,302
E9I2Z3;E9GM00,E9I2Z3;E9GM00,tr|E9I2Z3|E9I2Z3_DAPPU Chymotrypsin-like protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_347783 PE=4 SV=1;tr|E9GM00|E9GM00_DAPPU Chymotrypsin-like protein OS=Daphnia pulex OX=6669 GN=CHY1H PE=4 SV=1,0,0,2861700,0,0,0,18.304,175
E9GM14;E9I188,E9GM14,tr|E9GM14|E9GM14_DAPPU ATP-binding cassette sub-family B member 6 (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_347268 PE=3 SV=1,35141000,34746000,31127000,0,0,0,94.188,835
E9GM20;E9HVH9,E9GM20;E9HVH9,tr|E9GM20|E9GM20_DAPPU Transmembrane protein 177 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_104373 PE=4 SV=1;tr|E9HVH9|E9HVH9_DAPPU Transmembrane protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_334394 PE=4 SV=1,14084000,12561000,13670000,0,0,0,36.26,323
E9GM24,E9GM24,tr|E9GM24|E9GM24_DAPPU Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_319543 PE=3 SV=1,200290000,190240000,103130000,53384000,54029000,55242000,48.642,435
E9GM56,E9GM56,"tr|E9GM56|E9GM56_DAPPU ATP synthase subunit s, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_244919 PE=3 SV=1",0,0,2885100,0,0,0,14.136,126
E9GM88,E9GM88,tr|E9GM88|E9GM88_DAPPU Lachesin (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_212574 PE=4 SV=1,939620000,835090000,843240000,270870000,200280000,202560000,36.883,331
E9GM90,E9GM90,tr|E9GM90|E9GM90_DAPPU Ig-like domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_104443 PE=4 SV=1,271440000,267130000,256610000,0,0,0,59.339,545
E9GMA8,E9GMA8,"tr|E9GMA8|E9GMA8_DAPPU Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_231048 PE=3 SV=1",805110000,717460000,650920000,100810000,50712000,66011000,31.54,281
E9GMB1,E9GMB1,tr|E9GMB1|E9GMB1_DAPPU RNA helicase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_244975 PE=3 SV=1,0,0,4683600,0,0,0,51.196,450
E9GME6,E9GME6,tr|E9GME6|E9GME6_DAPPU Integrin alpha FG-GAP repeat containing 1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304872 PE=3 SV=1,0,0,1494500,0,0,0,65.005,583
E9GML4,E9GML4,tr|E9GML4|E9GML4_DAPPU WSN domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304900 PE=4 SV=1,0,0,6932000,0,0,0,73.27,654
